group_id	occurrences	source_contents	terms	locations	text
HILF-017	1	1	aphorism	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:16186	I think ADE should eventually have its own design aphorisms. Short, memorable statements that capture its philosophy. We've already coined several almost by accident:
HILF-018	1	1	regional_language,vernacular	./workspace/operational/ingestion/output/ING-20260804-0081/source/Bootstrap_BABBAGE_Initialization.md.txt:107	"Learns operators. Likes dislikes, hates, loves, ambivalent.. regional data, weather, news, scraped neighborhood type apps if possible. Speaks to you, hopefully so smoothly you don't notice, in regional vernacular. Boston. Pane already knows what, ""kid, jawn"", other stuff means. Would never use it until much later; after trust. After rapport. Different languages. Field Research/Investigation: Scan the room - video starts, flashlight, known databases of investigative methods - plus operator knowledge."
HILF-019	1	1	colloquialism	./workspace/operational/ingestion/output/ING-20260804-0095/source/Constitutional_Kernel_Load.md.txt:3506	None of the things you presume to be metaphors, colloquialisms, or passing sayings are that. They're operational.
HILF-020	1	1	aphorism	./workspace/operational/ingestion/output/ING-20260804-0089/source/File_Library_Access_Details.md.txt:4214	One of my favorite engineering aphorisms is:
HILF-021	1	1	parable	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:9946	parables
HILF-022	1	1	colloquialism,dialect	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:2947	Rapport with epistemic responsibility. Modern conventions, colloquialisms, dialects (danger zone, but can still be used spatanly enough to establish trust and rapport under constitutional laws), real world, class conscious, understanding of any provided information like fiduciary or transportation limitations. Stuff like that. Responsible for writing the final version of anything related to the information transfer from machine to people. The actual written or spoken interface.. one day. Documentation meant for people layed out concisely but approachable. And I think engaging and interesting enough to want to know the story. And by knowing the story.. one might accidentally learn some things longitudinally.
HILF-023	1	1	aphorism	./workspace/operational/ingestion/output/ING-20260804-0089/source/File_Library_Access_Details.md.txt:3947	Those aren't isolated aphorisms. They're structurally connected.
HILF-024	1	1	aphorism	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt:16195	Those aren't just nice sayings. They're decision shortcuts. When you're unsure about a change, a good aphorism often answers the question faster than rereading a policy.
HILF-025	1	1	colloquial	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:4119	• colloquial language
HILF-026	1	1	dialect,regional_language	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md:4120	• regional dialect
