group_id	terms	line	copies	sha256	representative	text
HILF-007	aphorism	11754	1	f0d08cbc34270a52c9502851ce02873832ee40f151cc91b4d6babcfe8200dfd0	./workspace/operational/ingestion/output/ING-20260804-0098/source/Governance_Improvements_Implementation.md(1).txt	Those are not separate aphorisms.
HILF-008	maxim	1862	1	734a6d8fde65b6c40eb9fe58a439f0f977babea6a950720c7016782cf2643b81	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt	- **Constitution → Articles → Standing Principles → Maxim** is a clean organizational pattern that could become a reusable constitutional template.
HILF-009	colloquialism	3048	2	64263a35738281b8c4288b32577feb928f45c47331c7fa2ab94027c4e50b36ec	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md	- colloquialisms
HILF-010	maxim	2416	1	734a6d8fde65b6c40eb9fe58a439f0f977babea6a950720c7016782cf2643b81	./workspace/operational/ingestion/output/ING-20260804-0088/source/Difference_Engine____Branch_II____Research.md(1).txt	- Foundational Maxim
HILF-011	dialect	3047	2	64263a35738281b8c4288b32577feb928f45c47331c7fa2ab94027c4e50b36ec	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md	- regional dialects when appropriate
HILF-012	regional_language	2793	1	fa0eeb17972874f3a991b0f767fbdc0d5dceceae5bfbeed4303782d601e376ea	./workspace/operational/ingestion/output/ING-20260804-0095/source/Constitutional_Kernel_Load.md.txt	- regional language;
HILF-013	maxim	21089	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	And if I may be permitted one tiny constitutional flourish—because you've gotten me thinking in constitutions now—I would add a single maxim beneath the Foundational Maxim:
HILF-014	maxim	9963	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	conversational maxims
HILF-015	dialect	247	1	ff976445f55b32c13441e1fac0a8d24d9ad44c6c8c54f978edc7bd42f1d38806	./workspace/operational/ingestion/output/ING-20260804-0081/source/Bootstrap_BABBAGE_Initialization.md.txt	dialect
HILF-016	parable	9866	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	"Eventually we settled on incorporating the com-b and fogg behavioral models, assessments (obviously not clinical and wouldn't claim it) for ADHD, autism, mood disorders, other behavioral disorders, Meyers Briggs, the ""big 5"" behavioral models, cognitive tests, and even whatever narcissistic, empathetic, and all the stuff in between constitute in our era of willful ignorance. I don't mean that in a bad way, but some folks put a lot of weight on that stuff. Enough to lock them in judgement that's hard to overcome -- shits almost like astrology and horoscopes now. Other stuff in my head. You'll see some narrative files.. those are telling a story (type, genre - mutable) of the journey that started out for Rowan, but grew so large in scope it's now for everyone. Each story, depending on age, could tell someone else's story. We also worked in common phrases, axioms, inferences, other linguistic models, parables, fables..dealing in what's not said more than said. Also analog activities for 1-(n) people consisting of mindfulness, focus, and eventually, hopefully, enough methods of self regulation from a VERY tailored process resulting from the engine. Custom schedules, nutrition plan. You name it. I did see a gpt that generates coloring books. I'd fuckin LOVE THAT. Also, depending on the recipient, the tone and vocabulary of the output or publication changes. Clinicians reports are for clinicians. Teachers for the classroom, maybe with an observation and intervention attempts and results. Never condescending, but not cheesy or rife with toxic positivity. That's not honest and I won't have the machine facilitate heads in sand. Don't have to be mean. Just gentle, painfully honest, and understanding. I'm sure there's more I'm forgetting. Teacher panel, mom panel, etc. I needed to get all that back in the mix."
HILF-017	aphorism	16186	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	I think ADE should eventually have its own design aphorisms. Short, memorable statements that capture its philosophy. We've already coined several almost by accident:
HILF-018	regional_language,vernacular	107	1	ff976445f55b32c13441e1fac0a8d24d9ad44c6c8c54f978edc7bd42f1d38806	./workspace/operational/ingestion/output/ING-20260804-0081/source/Bootstrap_BABBAGE_Initialization.md.txt	"Learns operators. Likes dislikes, hates, loves, ambivalent.. regional data, weather, news, scraped neighborhood type apps if possible. Speaks to you, hopefully so smoothly you don't notice, in regional vernacular. Boston. Pane already knows what, ""kid, jawn"", other stuff means. Would never use it until much later; after trust. After rapport. Different languages. Field Research/Investigation: Scan the room - video starts, flashlight, known databases of investigative methods - plus operator knowledge."
HILF-019	colloquialism	3506	1	fa0eeb17972874f3a991b0f767fbdc0d5dceceae5bfbeed4303782d601e376ea	./workspace/operational/ingestion/output/ING-20260804-0095/source/Constitutional_Kernel_Load.md.txt	None of the things you presume to be metaphors, colloquialisms, or passing sayings are that. They're operational.
HILF-020	aphorism	4214	1	e6ade85893a0e1c71e38ee13e681f9fd44823ba5b783262fc5ac4c92e29d51e8	./workspace/operational/ingestion/output/ING-20260804-0089/source/File_Library_Access_Details.md.txt	One of my favorite engineering aphorisms is:
HILF-021	parable	9946	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	parables
HILF-022	dialect,colloquialism	2947	2	64263a35738281b8c4288b32577feb928f45c47331c7fa2ab94027c4e50b36ec	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md	Rapport with epistemic responsibility. Modern conventions, colloquialisms, dialects (danger zone, but can still be used spatanly enough to establish trust and rapport under constitutional laws), real world, class  conscious,  understanding of any provided information like fiduciary or transportation limitations. Stuff like that. Responsible for writing the final version of anything related to the information transfer from machine to people. The actual written or spoken interface.. one day. Documentation meant for people layed out concisely but approachable. And I think engaging and interesting enough to want to know the story. And by knowing the story.. one might accidentally learn some things longitudinally.
HILF-023	aphorism	3947	1	e6ade85893a0e1c71e38ee13e681f9fd44823ba5b783262fc5ac4c92e29d51e8	./workspace/operational/ingestion/output/ING-20260804-0089/source/File_Library_Access_Details.md.txt	Those aren't isolated aphorisms. They're structurally connected.
HILF-024	aphorism	16195	1	0a2619397bc7687c57fd8e08765062ea5b4eae141fd8902d71536a443fa5f657	./workspace/operational/ingestion/output/ING-20260804-0099/source/Difference_Engine____Branch_0____Origins.txt	Those aren't just nice sayings. They're decision shortcuts. When you're unsure about a change, a good aphorism often answers the question faster than rereading a policy.
HILF-025	colloquial	4119	2	64263a35738281b8c4288b32577feb928f45c47331c7fa2ab94027c4e50b36ec	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md	• colloquial language
HILF-026	dialect,regional_language	4120	2	64263a35738281b8c4288b32577feb928f45c47331c7fa2ab94027c4e50b36ec	./workspace/operational/ingestion/output/ING-20260804-0091/source/Epistemic_Engine_Development.md	• regional dialect
